Timestamp,E_Active,I_neutral,ITHD1,PF_avg,V_12,V_2,V_31,VTHD2
2018-11-25 09:37:09,778.0,6.54,22.3,0.94,410.2,237.81,406.21,2.7
2018-11-25 09:38:09,778.1,6.51,22.5,0.941,409.66,237.72,406.12,2.5
2018-11-25 09:39:09,778.3,6.525,21.9,0.941,410.38,237.99,405.76,2.6
2018-11-25 09:40:10,778.4,6.6,22.1,0.941,409.66,237.54,405.67,2.6
2018-11-25 09:41:11,778.5,6.585,21.3,0.941,409.66,237.45,406.03,2.6
2018-11-25 09:42:11,778.6,6.585,22.0,0.941,409.3,237.27,405.58,2.6
2018-11-25 09:43:11,778.7,6.54,21.9,0.94,408.41,236.91,404.96,2.5
2018-11-25 09:44:11,778.8,6.63,22.3,0.941,408.67,236.91,404.51,2.5
2018-11-25 09:45:12,779.0,6.615,21.6,0.941,408.67,237.18,405.14,2.6
2018-11-25 09:46:12,779.1,6.6,21.6,0.941,408.76,237.09,405.05,2.6
2018-11-25 09:47:13,779.2,6.585,21.6,0.941,408.76,237.18,405.14,2.5
2018-11-25 09:48:13,779.3,6.555,22.0,0.94,408.5,236.91,404.96,2.5
2018-11-25 09:49:13,779.4,6.525,21.4,0.942,406.97,236.1,403.52,2.5
2018-11-25 09:50:14,779.5,6.6,21.4,0.94,409.3,237.36,406.12,2.5
2018-11-25 09:51:14,779.7,6.57,21.9,0.941,409.3,237.72,405.31,2.5
2018-11-25 09:52:15,779.8,6.57,21.3,0.94,409.3,237.36,406.12,2.5
2018-11-25 09:53:15,779.9,6.6,22.4,0.94,408.94,237.27,405.4,2.4
2018-11-25 09:54:15,780.0,6.57,21.3,0.941,408.76,237.09,405.31,2.5
2018-11-25 09:55:16,780.1,6.525,21.4,0.94,409.39,237.54,405.85,2.5
2018-11-25 09:56:16,780.2,6.525,22.1,0.94,409.39,237.45,405.85,2.4
2018-11-25 09:57:16,780.4,6.495,22.4,0.94,409.12,237.27,405.58,2.4
2018-11-25 09:58:17,780.5,6.54,21.5,0.94,409.03,237.27,405.67,2.5
2018-11-25 09:59:17,780.6,6.525,21.8,0.941,408.85,237.0,405.4,2.5
2018-11-25 10:00:18,780.7,6.525,21.6,0.941,409.12,237.27,405.49,2.5
2018-11-25 10:01:18,780.8,7.71,19.8,0.945,408.94,237.27,405.4,2.4
2018-11-25 10:02:18,781.0,7.68,18.5,0.945,408.5,237.09,404.78,2.5
2018-11-25 10:03:19,781.1,7.68,19.1,0.945,407.96,236.73,405.05,2.5
2018-11-25 10:04:19,781.2,6.51,21.5,0.941,408.05,236.82,404.42,2.5
2018-11-25 10:05:20,781.3,6.51,21.5,0.941,408.76,237.18,405.05,2.4
2018-11-25 10:06:20,781.4,6.39,22.0,0.941,408.67,237.18,405.05,2.5
2018-11-25 10:07:20,781.5,6.39,21.8,0.941,408.5,237.0,404.87,2.4
2018-11-25 10:08:21,781.7,6.315,20.9,0.941,408.41,237.0,405.05,2.4
2018-11-25 10:09:21,781.8,6.3,21.4,0.941,408.85,237.27,405.31,2.4
2018-11-25 10:10:22,781.9,6.39,21.6,0.941,409.12,237.45,405.49,2.4
