Timestamp,E_Active,I_1,I_neutral
2018-12-02 18:00:10,1854.9,5.31,7.2
2018-12-02 18:01:10,1854.9,5.295,7.2
2018-12-02 18:02:10,1855.0,5.22,7.14
2018-12-02 18:03:10,1855.0,5.145,7.11
2018-12-02 18:04:10,1855.1,5.175,7.125
2018-12-02 18:05:10,1855.1,5.07,7.05
2018-12-02 18:06:10,1855.2,5.13,7.08
2018-12-02 18:07:10,1855.2,5.205,7.17
2018-12-02 18:08:10,1855.3,5.37,7.23
2018-12-02 18:09:10,1855.4,5.145,7.035
2018-12-02 18:10:10,1855.4,5.145,7.005
2018-12-02 18:11:10,1855.5,5.145,7.005
2018-12-02 18:12:10,1855.5,5.13,7.02
2018-12-02 18:13:10,1855.6,5.1,7.02
2018-12-02 18:14:10,1855.6,6.435,7.275
2018-12-02 18:15:10,1855.7,4.98,6.96
2018-12-02 18:16:10,1855.7,5.01,6.975
2018-12-02 18:17:10,1855.8,4.965,6.99
2018-12-02 18:18:10,1855.9,5.13,6.945
2018-12-02 18:19:10,1855.9,4.98,6.915
2018-12-02 18:20:10,1856.0,4.95,6.84
2018-12-02 18:21:10,1856.0,4.95,6.87
2018-12-02 18:22:10,1856.1,5.1,6.96
2018-12-02 18:23:10,1856.1,4.995,7.035
2018-12-02 18:24:10,1856.2,4.965,6.885
2018-12-02 18:25:10,1856.2,5.01,6.96
2018-12-02 18:26:10,1856.3,4.98,6.87
2018-12-02 18:27:10,1856.4,4.965,6.855
2018-12-02 18:28:10,1856.4,4.98,6.975
2018-12-02 18:29:10,1856.5,4.95,6.885
2018-12-02 18:30:10,1856.5,4.98,6.87
2018-12-02 18:31:10,1856.6,4.98,6.96
2018-12-02 18:32:10,1856.6,5.01,6.96
2018-12-02 18:33:10,1856.7,4.98,6.975
2018-12-02 18:34:10,1856.7,5.01,6.96
2018-12-02 18:35:10,1856.8,4.98,6.855
2018-12-02 18:36:10,1856.9,4.98,6.855
2018-12-02 18:37:30,1856.9,4.98,6.9
2018-12-02 18:38:30,1857.0,4.995,6.93
2018-12-02 18:39:30,1857.0,6.435,7.41
2018-12-02 18:40:30,1857.1,5.01,7.02
2018-12-02 18:41:30,1857.1,5.025,7.005
2018-12-02 18:42:30,1857.2,4.995,6.99
2018-12-02 18:43:30,1857.2,4.995,6.975
2018-12-02 18:44:30,1857.3,4.995,6.975
2018-12-02 18:45:30,1857.4,5.04,6.975
2018-12-02 18:46:30,1857.4,4.965,6.945
2018-12-02 18:47:30,1857.5,4.98,6.96
2018-12-02 18:48:30,1857.5,4.92,6.96
2018-12-02 18:49:30,1857.6,4.92,6.96
2018-12-02 18:50:30,1857.6,4.935,6.96
2018-12-02 18:51:30,1857.7,4.95,6.96
2018-12-02 18:52:30,1857.8,4.965,6.975
2018-12-02 18:53:30,1857.8,4.98,6.96
2018-12-02 18:54:30,1857.9,4.95,6.96
2018-12-02 18:55:30,1857.9,4.935,6.96
2018-12-02 18:56:30,1858.0,4.95,6.855
2018-12-02 18:57:30,1858.0,4.98,6.96
2018-12-02 18:58:30,1858.1,6.42,7.395
2018-12-02 18:59:30,1858.1,4.92,6.9
2018-12-02 19:00:30,1858.2,4.92,6.96
2018-12-02 19:01:30,1858.3,4.92,6.975
2018-12-02 19:02:30,1858.3,4.935,6.96
2018-12-02 19:03:30,1858.4,4.935,6.96
2018-12-02 19:04:30,1858.4,4.92,6.96
2018-12-02 19:05:30,1858.5,4.935,6.945
2018-12-02 19:06:30,1858.5,4.98,6.96
2018-12-02 19:07:30,1858.6,4.965,6.945
2018-12-02 19:08:30,1858.6,4.95,6.96
2018-12-02 19:09:30,1858.7,4.935,6.93
2018-12-02 19:10:30,1858.8,4.92,6.99
2018-12-02 19:11:30,1858.8,6.42,7.41
2018-12-02 19:12:30,1858.9,4.935,6.96
2018-12-02 19:13:30,1858.9,4.905,6.81
2018-12-02 19:14:30,1859.0,4.92,6.96
2018-12-02 19:15:30,1859.0,4.92,6.96
2018-12-02 19:16:30,1859.1,4.935,6.9
2018-12-02 19:17:30,1859.2,4.965,6.945
2018-12-02 19:18:30,1859.2,6.42,7.38
2018-12-02 19:19:30,1859.3,4.935,6.99
2018-12-02 19:20:30,1859.3,4.935,6.93
2018-12-02 19:21:30,1859.4,4.95,6.945
2018-12-02 19:22:30,1859.4,4.965,6.99
2018-12-02 19:23:30,1859.5,4.965,6.96
2018-12-02 19:24:30,1859.5,4.965,6.99
2018-12-02 19:25:30,1859.6,4.965,7.005
2018-12-02 19:26:30,1859.7,4.92,6.975
2018-12-02 19:27:30,1859.7,4.95,6.96
2018-12-02 19:28:50,1859.8,4.965,6.99
2018-12-02 19:29:50,1859.8,4.935,6.96
2018-12-02 19:30:50,1859.9,4.95,6.96
2018-12-02 19:31:50,1859.9,4.92,6.96
2018-12-02 19:32:50,1860.0,4.95,7.035
2018-12-02 19:33:50,1860.1,4.935,6.96
2018-12-02 19:34:50,1860.1,4.905,6.93
2018-12-02 19:35:50,1860.2,4.95,6.96
2018-12-02 19:36:50,1860.2,4.95,6.945
2018-12-02 19:37:50,1860.3,4.95,6.96
2018-12-02 19:38:50,1860.3,4.95,6.96
2018-12-02 19:39:50,1860.4,4.965,6.975
2018-12-02 19:40:50,1860.4,5.01,6.975
2018-12-02 19:41:50,1860.5,4.98,6.975
2018-12-02 19:42:50,1860.6,4.98,6.99
2018-12-02 19:43:50,1860.6,4.935,6.945
2018-12-02 19:44:50,1860.7,4.935,6.945
2018-12-02 19:45:50,1860.7,6.42,7.395
2018-12-02 19:46:50,1860.8,4.935,6.99
2018-12-02 19:47:50,1860.8,4.92,6.945
2018-12-02 19:48:50,1860.9,4.875,6.915
2018-12-02 19:49:50,1860.9,4.935,7.005
2018-12-02 19:50:50,1861.0,4.845,6.945
2018-12-02 19:51:50,1861.1,4.815,6.9
2018-12-02 19:52:50,1861.1,4.845,6.96
2018-12-02 19:53:50,1861.2,4.83,6.93
2018-12-02 19:54:50,1861.2,4.785,6.87
2018-12-02 19:55:50,1861.3,4.815,6.93
2018-12-02 19:56:50,1861.3,4.815,6.915
2018-12-02 19:57:50,1861.4,4.815,6.93
2018-12-02 19:58:50,1861.4,4.83,6.945
2018-12-02 19:59:50,1861.5,4.83,6.915
2018-12-02 20:00:50,1861.6,4.875,6.96
2018-12-02 20:01:50,1861.6,4.845,6.9
2018-12-02 20:02:50,1861.7,4.845,6.915
2018-12-02 20:03:50,1861.7,4.86,6.9
2018-12-02 20:04:50,1861.8,4.875,6.96
2018-12-02 20:05:50,1861.8,4.845,6.915
2018-12-02 20:06:50,1861.9,4.83,6.93
2018-12-02 20:07:50,1861.9,4.86,6.93
2018-12-02 20:08:50,1862.0,4.8,6.93
2018-12-02 20:09:50,1862.1,4.815,6.9
2018-12-02 20:10:50,1862.1,4.83,6.945
2018-12-02 20:11:50,1862.2,4.86,6.975
2018-12-02 20:12:50,1862.2,4.815,6.855
2018-12-02 20:13:50,1862.3,4.815,6.885
2018-12-02 20:14:50,1862.3,4.845,6.84
2018-12-02 20:15:50,1862.4,4.785,6.885
2018-12-02 20:16:50,1862.4,4.83,6.81
2018-12-02 20:17:50,1862.5,4.815,6.735
2018-12-02 20:19:10,1862.5,6.45,5.055
2018-12-02 20:20:10,1862.6,4.905,3.63
2018-12-02 20:21:10,1862.6,4.905,3.645
2018-12-02 20:22:10,1862.6,4.89,3.66
2018-12-02 20:23:10,1862.7,4.965,3.69
2018-12-02 20:24:10,1862.7,4.965,3.675
2018-12-02 20:25:10,1862.7,4.89,3.645
2018-12-02 20:26:10,1862.7,4.905,3.66
2018-12-02 20:27:10,1862.8,4.845,3.63
2018-12-02 20:28:10,1862.8,4.965,3.66
2018-12-02 20:29:10,1862.8,4.89,3.645
2018-12-02 20:30:10,1862.9,4.92,3.675
2018-12-02 20:31:10,1862.9,4.935,3.69
2018-12-02 20:32:10,1862.9,4.935,3.675
2018-12-02 20:33:10,1862.9,4.905,3.645
2018-12-02 20:34:10,1863.0,4.92,3.66
2018-12-02 20:35:10,1863.0,4.965,3.675
2018-12-02 20:36:10,1863.0,4.845,3.63
2018-12-02 20:37:10,1863.0,4.86,3.63
2018-12-02 20:38:10,1863.1,4.89,3.66
2018-12-02 20:39:10,1863.1,6.375,4.98
2018-12-02 20:40:10,1863.1,4.935,3.675
2018-12-02 20:41:10,1863.2,4.92,3.66
2018-12-02 20:42:10,1863.2,4.935,3.645
2018-12-02 20:43:10,1863.2,4.965,3.675
2018-12-02 20:44:10,1863.2,4.89,3.645
2018-12-02 20:45:10,1863.3,4.905,3.675
2018-12-02 20:46:10,1863.3,4.89,3.66
2018-12-02 20:47:10,1863.3,4.89,3.63
2018-12-02 20:48:10,1863.4,4.875,3.63
2018-12-02 20:49:10,1863.4,4.95,3.66
2018-12-02 20:50:10,1863.4,4.905,3.645
2018-12-02 20:51:10,1863.4,4.905,3.645
2018-12-02 20:52:10,1863.5,6.405,5.04
2018-12-02 20:53:10,1863.5,4.935,3.66
2018-12-02 20:54:10,1863.5,4.89,3.645
2018-12-02 20:55:10,1863.5,4.89,3.645
2018-12-02 20:56:10,1863.6,4.89,3.63
2018-12-02 20:57:10,1863.6,4.905,3.645
2018-12-02 20:58:10,1863.6,4.935,3.675
2018-12-02 20:59:10,1863.7,6.315,4.95
2018-12-02 21:00:10,1863.7,4.89,3.63
2018-12-02 21:01:10,1863.7,4.95,3.66
2018-12-02 21:02:10,1863.7,4.845,3.615
2018-12-02 21:03:10,1863.8,4.905,3.63
2018-12-02 21:04:10,1863.8,4.89,3.63
2018-12-02 21:05:10,1863.8,4.89,3.63
2018-12-02 21:06:10,1863.8,4.89,3.63
2018-12-02 21:07:10,1863.9,4.89,3.63
2018-12-02 21:08:10,1863.9,4.905,3.63
2018-12-02 21:09:30,1863.9,4.86,3.63
2018-12-02 21:10:30,1864.0,4.89,3.63
2018-12-02 21:11:30,1864.0,4.89,3.63
2018-12-02 21:12:30,1864.0,4.905,3.66
2018-12-02 21:13:30,1864.0,4.89,3.63
2018-12-02 21:14:30,1864.1,4.89,3.63
2018-12-02 21:15:30,1864.1,4.89,3.63
2018-12-02 21:16:30,1864.1,4.89,3.63
2018-12-02 21:17:30,1864.1,4.89,3.615
2018-12-02 21:18:30,1864.2,4.875,3.63
2018-12-02 21:19:30,1864.2,6.345,4.965
2018-12-02 21:20:30,1864.2,4.89,3.63
2018-12-02 21:21:30,1864.3,4.95,3.675
2018-12-02 21:22:30,1864.3,4.935,3.66
2018-12-02 21:23:30,1864.3,4.89,3.63
2018-12-02 21:24:30,1864.3,4.74,3.51
2018-12-02 21:25:30,1864.4,4.785,3.525
2018-12-02 21:26:30,1864.4,4.785,3.525
2018-12-02 21:27:30,1864.4,4.77,3.525
2018-12-02 21:28:30,1864.5,4.785,3.555
2018-12-02 21:29:30,1864.5,4.755,3.555
2018-12-02 21:30:30,1864.5,4.785,3.54
2018-12-02 21:31:30,1864.5,4.755,3.525
2018-12-02 21:32:30,1864.6,4.785,3.525
2018-12-02 21:33:30,1864.6,4.755,3.51
2018-12-02 21:34:30,1864.6,4.695,3.495
2018-12-02 21:35:30,1864.6,4.785,3.54
2018-12-02 21:36:30,1864.7,4.8,3.555
2018-12-02 21:37:30,1864.7,4.74,3.54
2018-12-02 21:38:30,1864.7,4.605,4.185
2018-12-02 21:39:30,1864.7,4.77,4.305
2018-12-02 21:40:30,1864.8,4.74,4.29
2018-12-02 21:41:30,1864.8,4.74,4.335
2018-12-02 21:42:30,1864.8,4.74,4.32
2018-12-02 21:43:30,1864.9,4.71,4.305
2018-12-02 21:44:30,1864.9,4.755,4.365
2018-12-02 21:45:30,1864.9,4.725,4.32
2018-12-02 21:46:30,1864.9,4.605,4.17
2018-12-02 21:47:30,1865.0,4.59,4.17
2018-12-02 21:48:30,1865.0,4.605,4.14
2018-12-02 21:49:30,1865.0,4.59,4.17
2018-12-02 21:50:30,1865.0,4.59,4.17
2018-12-02 21:51:30,1865.1,4.59,4.17
2018-12-02 21:52:30,1865.1,4.605,4.215
2018-12-02 21:53:30,1865.1,4.605,4.185
2018-12-02 21:54:30,1865.2,4.665,4.215
2018-12-02 21:55:30,1865.2,4.605,4.2
2018-12-02 21:56:30,1865.2,4.605,4.17
2018-12-02 21:57:30,1865.2,4.605,4.17
2018-12-02 21:58:30,1865.3,4.59,4.17
2018-12-02 21:59:50,1865.3,4.545,4.185
2018-12-02 22:00:50,1865.3,4.575,4.17
2018-12-02 22:01:50,1865.3,4.605,4.185
2018-12-02 22:02:50,1865.4,4.59,4.185
2018-12-02 22:03:50,1865.4,4.575,4.185
2018-12-02 22:04:50,1865.4,4.575,4.185
2018-12-02 22:05:50,1865.4,4.635,4.17
2018-12-02 22:06:50,1865.5,4.65,4.2
2018-12-02 22:07:50,1865.5,4.62,4.125
2018-12-02 22:08:50,1865.5,4.65,4.155
2018-12-02 22:09:50,1865.6,4.59,4.155
2018-12-02 22:10:50,1865.6,4.59,4.17
2018-12-02 22:11:50,1865.6,4.575,4.185
2018-12-02 22:12:50,1865.6,4.59,4.17
2018-12-02 22:13:50,1865.7,4.575,4.2
2018-12-02 22:14:50,1865.7,4.65,4.2
2018-12-02 22:15:50,1865.7,4.635,4.185
2018-12-02 22:16:50,1865.7,4.485,4.035
2018-12-02 22:17:50,1865.8,4.485,4.02
2018-12-02 22:18:50,1865.8,5.985,5.16
2018-12-02 22:19:50,1865.8,4.47,4.05
2018-12-02 22:20:50,1865.8,4.455,4.02
2018-12-02 22:21:50,1865.9,4.35,3.915
2018-12-02 22:22:50,1865.9,4.305,3.885
2018-12-02 22:23:50,1865.9,4.5,4.02
2018-12-02 22:24:50,1865.9,4.365,3.885
2018-12-02 22:25:50,1866.0,4.455,4.035
2018-12-02 22:26:50,1866.0,4.47,4.02
2018-12-02 22:27:50,1866.0,4.455,4.02
2018-12-02 22:28:50,1866.1,4.35,3.945
2018-12-02 22:29:50,1866.1,4.365,3.945
2018-12-02 22:30:50,1866.1,4.305,3.945
2018-12-02 22:31:50,1866.1,4.32,3.93
2018-12-02 22:32:50,1866.2,4.29,3.96
2018-12-02 22:33:50,1866.2,4.365,3.9
2018-12-02 22:34:50,1866.2,4.335,3.93
2018-12-02 22:35:50,1866.2,4.335,3.945
2018-12-02 22:36:50,1866.3,4.29,3.915
2018-12-02 22:37:50,1866.3,4.305,3.93
2018-12-02 22:38:50,1866.3,4.29,3.93
2018-12-02 22:39:50,1866.3,4.305,3.93
2018-12-02 22:40:50,1866.4,4.17,3.78
2018-12-02 22:41:50,1866.4,4.26,3.87
2018-12-02 22:42:50,1866.4,4.17,3.765
2018-12-02 22:43:50,1866.4,4.305,3.9
2018-12-02 22:44:50,1866.5,5.79,5.055
2018-12-02 22:45:50,1866.5,4.32,3.945
2018-12-02 22:46:50,1866.5,4.305,3.915
2018-12-02 22:47:50,1866.5,4.305,3.93
2018-12-02 22:48:50,1866.6,4.305,3.93
2018-12-02 22:50:10,1866.6,4.32,3.945
2018-12-02 22:51:10,1866.6,4.275,3.93
2018-12-02 22:52:10,1866.6,4.26,3.93
2018-12-02 22:53:10,1866.7,4.29,3.915
2018-12-02 22:54:10,1866.7,4.26,3.87
2018-12-02 22:55:10,1866.7,4.275,3.915
2018-12-02 22:56:10,1866.7,4.275,3.915
