Timestamp,activePower,current,kwhPer5Minutes,kwhTotal,stat,temp,voltage,whPer5Minutes,whTotal
2019-01-02 07:10:00,1,0.03,,,,,216,0.163,27.169
2019-01-02 07:30:00,1,0.032,,,,,212,0.143,27.786
2019-01-02 07:50:00,2,0.032,,,,,209,0.17,28.459
2019-01-02 08:10:00,2,0.031,,,,,205,0.21,29.189
2019-01-02 08:30:00,1,0.029,,,,,198,,
2019-01-02 08:50:00,29,0.208,,,,,211,1.056,1.188
2019-01-02 09:10:00,1005,4.515,,,,,223,78.623,115.924
2019-01-02 09:30:00,941,4.234,,,,,225,79.229,204.382
2019-01-02 09:50:00,876,3.956,,,,,225,73.046,170.556
2019-01-02 10:10:00,880,3.968,,,,,225,73.349,91.67
2019-01-02 10:30:00,883,3.979,,,,,225,73.567,110.33
2019-01-02 10:50:00,885,3.991,,,,,224,73.735,129.033
2019-01-02 11:10:00,886,4.0,,,,,224,73.893,295.229
2019-01-02 11:30:00,888,3.998,,,0,20,225,74.021,110.97
2019-01-02 11:50:00,889,3.977,,,,,227,74.161,148.279
2019-01-02 12:10:00,890,3.94,,,,,231,74.226,408.174
2019-01-02 12:30:00,890,4.024,,,,,224,74.243,259.812
2019-01-02 12:50:00,891,4.034,,,,,223,74.249,148.498
2019-01-02 13:10:00,889,4.108,,,0,20,218,74.175,185.407
2019-01-02 13:30:00,890,4.138,,,,,216,74.203,204.033
2019-01-02 13:50:00,891,4.129,,,0,20,216,74.244,185.584
2019-01-02 14:10:00,891,4.152,,,,,215,74.268,482.674
2019-01-02 14:30:00,891,4.152,,,,,215,74.254,92.825
2019-01-02 14:50:00,890,4.149,,,,,216,74.203,92.759
2019-01-02 15:10:00,890,4.155,,,,,216,74.196,148.394
2019-01-02 15:30:00,888,4.147,,,,,216,74.083,92.603
2019-01-02 15:50:00,890,4.132,,,,,217,74.234,74.234
2019-01-02 16:10:00,890,4.1,,,,,219,74.177,129.84
2019-01-02 16:30:00,889,4.089,,,,,220,74.111,407.84
2019-01-02 16:50:00,889,4.049,,,,,222,74.103,704.225
2019-01-02 17:10:00,889,4.029,,,,,224,74.148,1000.798
2019-01-02 17:30:00,525,2.424,,,,,228,59.804,1283.043
2019-01-02 17:50:00,1,0.03,,,,,228,0.142,1351.543
2019-01-02 18:10:00,1,0.032,,,,,225,0.132,1352.095
2019-01-02 18:30:00,2,0.031,,,,,224,0.173,1352.675
2019-01-02 18:50:00,1,0.032,,,,,224,0.138,338.418
2019-01-02 19:10:00,1,0.031,,,,,225,0.162,0.201
2019-01-02 19:30:00,1,0.03,,,,,225,0.131,0.163
2019-01-02 19:50:00,1,0.03,,,,,224,0.126,0.572
2019-01-02 20:10:00,2,0.032,,,,,224,0.199,1.161
2019-01-02 20:30:00,1,0.031,,,,,224,0.145,0.259
2019-01-02 20:50:00,1,0.032,,,,,224,0.144,0.806
2019-01-02 21:10:00,1,0.032,,,,,224,0.14,1.02
2019-01-02 21:30:00,1,0.032,,,,,226,0.14,0.274
2019-01-02 21:50:00,1,0.03,,,,,225,0.155,0.312
2019-01-02 22:10:00,1,0.031,,,,,225,0.131,0.452
2019-01-02 22:30:00,2,0.031,,,,,225,0.17,1.03
2019-01-02 22:50:00,2,0.031,,,,,226,0.189,1.789
2019-01-02 23:10:00,1,0.031,,,,,225,0.138,2.434
2019-01-02 23:30:00,1,0.031,,,,,226,0.139,1.489
2019-01-02 23:50:00,1,0.03,,,,,226,0.138,0.24
2019-01-03 00:10:00,1,0.032,,,,,227,0.149,0.217
2019-01-03 00:30:00,1,0.031,,,,,227,0.14,0.278
2019-01-03 00:50:00,1,0.031,,,,,225,0.141,0.611
2019-01-03 01:10:00,1,0.031,,,,,226,0.171,1.261
2019-01-03 01:30:00,2,0.031,,,,,225,0.13,0.539
2019-01-03 01:50:00,1,0.031,,,,,226,0.194,0.811
2019-01-03 02:10:00,8,0.03,,,,,227,0.709,2.067
2019-01-03 02:30:00,1,0.031,,,,,228,0.134,0.943
2019-01-03 02:50:00,1,0.033,,,,,229,0.142,0.377
2019-01-03 03:10:00,1,0.03,,,,,229,0.142,0.271
2019-01-03 03:30:00,2,0.032,,,,,230,0.159,0.159
2019-01-03 03:50:00,1,0.031,,,,,229,0.156,0.398
2019-01-03 04:10:00,2,0.032,,,,,228,0.173,1.024
2019-01-03 04:30:00,1,0.031,,,,,227,0.173,1.789
2019-01-03 04:50:00,1,0.032,,,,,227,0.182,0.221
2019-01-03 05:10:00,2,0.032,,,,,227,0.18,0.18
2019-01-03 05:30:00,1,0.031,,,,,226,0.135,0.168
2019-01-03 05:50:00,1,0.033,,,,,226,0.149,0.326
2019-01-03 06:10:00,1,0.029,,,,,225,0.153,0.184
2019-01-03 06:30:00,2,0.031,,,,,225,0.198,0.381
2019-01-03 06:50:00,1,0.031,,,,,224,0.129,0.457
